Site,Treatment,Year,Plot,Tree,diameter_breast_height_cm,height_cm
Elkhorn,control,1988,5,1,2.1,55.9
Elkhorn,control,1990,5,1,3.1,71.1
Elkhorn,control,1992,5,1,5.1,99.1
Elkhorn,control,1994,5,1,7.1,142.2
Elkhorn,control,1996,5,1,9.9,195.6
Elkhorn,control,2001,5,1,8.6,497.8
Elkhorn,control,2006,5,1,8.6,510.5
Elkhorn,control,1988,5,9,2.9,66
Elkhorn,control,1990,5,9,5.4,124.5
Elkhorn,control,1992,5,9,8.9,175.3
Elkhorn,control,1994,5,9,12.2,243.8
Elkhorn,control,1996,5,9,3.8,370.8
Elkhorn,control,2001,5,9,14.2,678.2
Elkhorn,control,2006,5,9,21.6,955
Elkhorn,control,1988,5,17,1.7,53.3
Elkhorn,control,1990,5,17,4.2,134.6
Elkhorn,control,1992,5,17,9.4,231.1
Elkhorn,control,1994,5,17,5.1,396.2
Elkhorn,control,1996,5,17,11.7,586.7
Elkhorn,control,2001,5,17,20.1,1061.7
Elkhorn,control,2006,5,17,25.7,1544.3
Elkhorn,control,1988,8,1,2.5,73.7
Elkhorn,control,1990,8,1,3.6,116.8
Elkhorn,control,1992,8,1,7.9,210.8
Elkhorn,control,1994,8,1,3,342.9
Elkhorn,control,1996,8,1,5.8,497.8
Elkhorn,control,2001,8,1,16.3,812.8
Elkhorn,control,2006,8,1,24.4,1259.8
Elkhorn,control,1988,8,3,2.1,66
Elkhorn,control,1990,8,3,4,134.6
Elkhorn,control,1992,8,3,9.9,259.1
Elkhorn,control,1994,8,3,4.8,436.9
Elkhorn,control,1996,8,3,9.9,602
Elkhorn,control,2001,8,3,22.1,998.2
Elkhorn,control,2006,8,3,30.5,1473.2
Elkhorn,control,1988,8,17,2.6,63.5
Elkhorn,control,1990,8,17,3.3,111.8
Elkhorn,control,1992,8,17,6.9,215.9
Elkhorn,control,1994,8,17,9.1,302.3
Elkhorn,control,1996,8,17,2.8,386.1
Elkhorn,control,2001,8,17,8.4,581.7
Elkhorn,control,2006,8,17,13.2,784.9
Elkhorn,control,1988,24,11,3.5,58.4
Elkhorn,control,1990,24,11,4.8,137.2
Elkhorn,control,1992,24,11,11.2,281.9
Elkhorn,control,1994,24,11,7.1,477.5
Elkhorn,control,1996,24,11,16,716.3
Elkhorn,control,2001,24,11,34.3,1270
Elkhorn,control,2006,24,11,45.7,1899.9
Elkhorn,control,1988,24,16,2.1,50.8
Elkhorn,control,1990,24,16,2.6,78.7
Elkhorn,control,1992,24,16,7.7,200.7
Elkhorn,control,1994,24,16,5.3,401.3
Elkhorn,control,1996,24,16,10.4,612.1
Elkhorn,control,2001,24,16,24.9,1231.9
Elkhorn,control,2006,24,16,35.6,1892.3
Elkhorn,control,1988,24,18,1.3,38.1
Elkhorn,control,1990,24,18,1.5,55.9
Elkhorn,control,1992,24,18,2.6,96.5
Elkhorn,control,1994,24,18,4.6,149.9
Elkhorn,control,1996,24,18,6.6,228.6
Elkhorn,control,2001,24,18,5.6,523.2
Elkhorn,control,2006,24,18,14,850.9
Feather Falls,control,1988,5,7,3.3,96.5
Feather Falls,control,1990,5,7,8.8,309.9
Feather Falls,control,1992,5,7,19.1,576.6
Feather Falls,control,1994,5,7,20.3,988.1
Feather Falls,control,1996,5,7,26.7,1447.8
Feather Falls,control,2001,5,7,33.8,2314.9
Feather Falls,control,2006,5,7,34,2943.9
Feather Falls,control,1988,5,12,3.9,99.1
Feather Falls,control,1990,5,12,9.9,315
Feather Falls,control,1992,5,12,21.1,718.8
Feather Falls,control,1994,5,12,22.6,1259.8
Feather Falls,control,1996,5,12,31.5,1833.9
Feather Falls,control,2001,5,12,43.4,2612.6
Feather Falls,control,2006,5,12,52.3,3858.3
Feather Falls,control,1988,5,17,5.4,147.3
Feather Falls,control,1990,5,17,14.7,434.3
Feather Falls,control,1992,5,17,29.2,800.1
Feather Falls,control,1994,5,17,30,1252.2
Feather Falls,control,1996,5,17,39.4,1762.8
Feather Falls,control,2001,5,17,54.1,2639.1
Feather Falls,control,2006,5,17,58.4,3868.4
Feather Falls,control,1988,8,4,6.5,142.2
Feather Falls,control,1990,8,4,16.4,454.7
Feather Falls,control,1992,8,4,30,886.5
Feather Falls,control,1994,8,4,12.4,1412.2
Feather Falls,control,1996,8,4,42.2,1656.1
Feather Falls,control,2001,8,4,54.1,2549
Feather Falls,control,2006,8,4,60.7,3647.4
Feather Falls,control,1988,8,14,3.4,91.4
Feather Falls,control,1990,8,14,10.1,264.2
Feather Falls,control,1992,8,14,22.6,574
Feather Falls,control,1994,8,14,17.8,934.7
Feather Falls,control,1996,8,14,24.4,1168.4
Feather Falls,control,2001,8,14,33.5,2788.9
Feather Falls,control,2006,8,14,38.4,3236
