site,treatment,plot,tree,year,Earlywood_Radius_mm,Earlywood_cumulative_radius_mm,Earlywood_BAI_mmsq,Earlywood_cumulative_BAI,Earlywood_cumularive_BAI_ha_m2,Latewood_radius_mm,Latewood_cumulative_radius,Latewood_BAI,Latewood_cumulative_BAI,Latewood_cumulative_BAI_ha_m2,Totalwood_radius_mm,Totalwood_cumulative_radius_mm,Totalwood_BAI,Totalwood_cumulative_BAI,Totalwood_cumulative_BAI_ha_m2
Elkhorn,control,5,1,1988,0.134,0.134,0.05638184,0.05638184,94.7214912,0.0205,0.0205,0.001319585,0.001319585,2.2169028,0.1545,0.1545,0.074952585,0.074952585,125.9203428
Elkhorn,control,5,1,1989,0.0655,0.1995,0.013471385,0.124972785,209.9542788,0.0195,0.04,0.001193985,0.005024,8.44032,0.085,0.2395,0.0226865,0.180111185,302.5867908
Elkhorn,control,5,1,1990,0.0815,0.281,0.020856665,0.24793754,416.5350672,0.0165,0.0565,0.000854865,0.010023665,16.8397572,0.098,0.3375,0.03015656,0.357665625,600.87825
Elkhorn,control,5,1,1991,0.093,0.374,0.02715786,0.43921064,737.8738752,0.015,0.0715,0.0007065,0.016052465,26.9681412,0.1075,0.445,0.036286625,0.6217985,1044.62148
Elkhorn,control,5,1,1992,0.096,0.47,0.02893824,0.693626,1165.29168,0.0275,0.099,0.002374625,0.03077514,51.7022352,0.123,0.568,0.04750506,1.01303936,1701.906125
Elkhorn,control,5,1,1993,0.1035,0.5735,0.033636465,1.032753065,1735.025149,0.0255,0.1245,0.002041785,0.048670785,81.7669188,0.128,0.696,0.05144576,1.52106624,2555.391283
Elkhorn,control,5,1,1994,0.112,0.6855,0.03938816,1.475518185,2478.870551,0.022,0.1465,0.00151976,0.067391465,113.2176612,0.134,0.83,0.05638184,2.163146,3634.08528
Elkhorn,control,5,1,1995,0.1205,0.806,0.045593585,2.03985704,3426.959827,0.0375,0.184,0.004415625,0.10630784,178.5971712,0.158,0.988,0.07838696,3.06509216,5149.354829
Elkhorn,control,5,1,1996,0.1045,0.9105,0.034289585,2.603092185,4373.194871,0.0455,0.2295,0.006500585,0.165384585,277.8461028,0.1495,1.1375,0.070179785,4.062865625,6825.61425
Elkhorn,control,5,1,1997,0.076,0.9865,0.01813664,3.055792265,5133.731005,0.035,0.2645,0.0038465,0.219675185,369.0543108,0.1105,1.248,0.038340185,4.89056256,8216.145101
Elkhorn,control,5,1,1998,0.089,1.0755,0.02487194,3.632038785,6101.825159,0.0245,0.289,0.001884785,0.26225594,440.5899792,0.113,1.361,0.04009466,5.81628794,9771.363739
Elkhorn,control,5,1,1999,0.054,1.1295,0.00915624,4.005918585,6729.943223,0.022,0.311,0.00151976,0.30370394,510.2226192,0.0755,1.4365,0.017898785,6.479491265,10885.54533
Elkhorn,control,5,1,2000,0.061,1.1905,0.01168394,4.450291385,7476.489527,0.0265,0.3375,0.002205065,0.357665625,600.87825,0.081,1.5175,0.02060154,7.230811625,12147.76353
Elkhorn,control,5,1,2001,0.053,1.2435,0.00882026,4.855357665,8157.000877,0.0215,0.359,0.001451465,0.40468634,679.8730512,0.094,1.6115,0.02774504,8.154367265,13699.33701
Elkhorn,control,5,1,2002,0.0535,1.297,0.008987465,5.28213626,8873.988917,0.021,0.38,0.00138474,0.453416,761.73888,0.0745,1.686,0.017427785,8.92575144,14995.26242
Elkhorn,control,5,1,2003,0.085,1.382,0.0226865,5.99716136,10075.23108,0.028,0.408,0.00246176,0.52269696,878.1308928,0.074,1.76,0.01719464,9.726464,16340.45952
Elkhorn,control,5,1,2004,0.1055,1.4875,0.034948985,6.947740625,11672.20425,0.014,0.422,0.00061544,0.55918376,939.4287168,0.113,1.873,0.04009466,11.01552506,18506.0821
Elkhorn,control,5,1,2005,0.095,1.5825,0.0283385,7.863521625,13210.71633,0.014,0.436,0.00061544,0.59690144,1002.794419,0.1195,1.9925,0.044839985,12.46597663,20942.84074
Elkhorn,control,5,1,2006,0.063,1.6455,0.01246266,8.502084585,14283.5021,0.0135,0.4495,0.000572265,0.634437785,1065.855479,0.109,2.1015,0.03730634,13.86718907,23296.87764
Elkhorn,control,5,1,2007,0.0595,1.705,0.011116385,9.1280585,15335.13828,0.0145,0.464,0.000660185,0.67602944,1135.729459,0.0755,2.177,0.017898785,14.88149306,25000.90834
Elkhorn,control,5,1,2008,0.087,1.792,0.02376666,10.08336896,16940.05985,0.015,0.479,0.0007065,0.72044474,1210.347163,0.0735,2.2505,0.016963065,15.90331579,26717.57053
Elkhorn,control,5,9,1988,0.136,0.136,0.05807744,0.05807744,97.5700992,0.0145,0.0145,0.000660185,0.000660185,1.1091108,0,0,0,0,0
Elkhorn,control,5,9,1989,0.0575,0.1935,0.010381625,0.117568665,197.5153572,0.0355,0.05,0.003957185,0.00785,13.188,0.15,0.15,0.07065,0.07065,118.692
