Site,Year,Treatment,Plot,Tree,d13C,d18O,d13C_atmospheric_CO2,iWUE
Elkhorn,1994,control,5,1,-25.1,28.6,-7.8,96.27571903
Elkhorn,1994,control,24,11,-24.69,26.7,-7.8,101.238385
Elkhorn,1994,control,8,3,-24.42,25.7,-7.8,103.2234513
Elkhorn,1994,fertilizer,2,15,-24.87,24.9,-7.8,99.25331858
Elkhorn,1994,fertilizer,14,11,-25.91,24.7,-7.8,88.33545354
Elkhorn,1994,fertilizer,2,1,-25.79,24.2,-7.8,90.32051991
Elkhorn,1994,herbicide,17,15,-25.65,25.6,-7.8,91.3130531
Elkhorn,1994,herbicide,12,7,-26.91,24.8,-7.8,78.41012168
Elkhorn,1994,HF,19,19,-25.22,26,-7.8,95.28318584
Elkhorn,1994,HF,1,7,-23.41,26,-7.8,113.1487832
Elkhorn,1995,control,24,11,-25.79,26.8,-7.9,90.8238385
Elkhorn,1995,control,5,1,-24.09,26.6,-7.9,107.7909292
Elkhorn,1995,control,8,3,-23.76,24.8,-7.9,110.7851217
Elkhorn,1995,fertilizer,2,15,-25.1,28.9,-7.9,97.81028761
Elkhorn,1995,fertilizer,14,11,-26.68,28.1,-7.9,81.84126106
Elkhorn,1995,fertilizer,2,1,-24.74,25.1,-7.9,100.8044801
Elkhorn,1995,herbicide,17,15,-24.72,26.5,-7.9,101.8025442
Elkhorn,1995,herbicide,12,7,-27.04,24,-7.9,77.84900442
Elkhorn,1995,HF,1,7,-24.74,23.6,-7.9,100.8044801
Elkhorn,1995,HF,19,19,-25.29,23.5,-7.9,95.81415929
Elkhorn,1996,control,24,11,-23.28,26.2,-7.9,116.3528761
Elkhorn,1996,control,5,1,-23.72,24.2,-7.9,112.340708
Elkhorn,1996,control,8,3,-25.22,24.1,-7.9,97.29507743
Elkhorn,1996,fertilizer,2,1,-25.33,28.1,-7.9,96.2920354
Elkhorn,1996,fertilizer,14,11,-26.24,25.8,-7.9,87.26465708
Elkhorn,1996,fertilizer,2,15,-24.78,25.3,-7.9,101.3072456
Elkhorn,1996,herbicide,12,7,-26.6,27.2,-7.9,83.25248894
Elkhorn,1996,herbicide,17,15,-25.86,24.5,-7.9,90.27378319
Elkhorn,1996,HF,19,19,-25.22,26.2,-7.9,97.29507743
Elkhorn,1996,HF,1,7,-22.88,24.7,-7.9,120.3650442
Elkhorn,1997,control,8,3,-25.93,28.2,-7.9,90.54756637
Elkhorn,1997,control,5,1,-25.9,26.4,-7.9,90.54756637
Elkhorn,1997,control,24,11,-23.25,23.8,-7.9,117.7118363
Elkhorn,1997,fertilizer,2,1,-24.85,27.3,-7.9,101.6144912
Elkhorn,1997,fertilizer,14,11,-25.01,26.2,-7.9,99.60232301
Elkhorn,1997,fertilizer,2,15,-25.61,25.1,-7.9,93.56581858
Elkhorn,1997,herbicide,17,15,-25.87,28.8,-7.9,91.55365044
Elkhorn,1997,herbicide,12,7,-26.25,26.4,-7.9,87.52931416
Elkhorn,1997,HF,19,19,-24.03,25.6,-7.9,109.6631637
Elkhorn,1997,HF,1,7,-25.19,25.4,-7.9,97.59015487
Elkhorn,1998,control,5,1,-25.77,26.8,-7.9,92.99225664
Elkhorn,1998,control,8,3,-25.15,26.8,-7.9,99.05696903
Elkhorn,1998,control,24,11,-26.34,26,-7.9,86.92754425
Elkhorn,1998,fertilizer,14,11,-26.69,27.3,-7.9,83.89518805
Elkhorn,1998,fertilizer,2,15,-23.54,24,-7.9,115.2295354
Elkhorn,1998,fertilizer,2,1,-26.4,23.7,-7.9,86.92754425
Elkhorn,1998,herbicide,17,15,-26.44,27.2,-7.9,85.91675885
Elkhorn,1998,herbicide,12,7,-25.6,24.8,-7.9,95.01382743
Elkhorn,1998,HF,1,7,-23.26,24.3,-7.9,118.2618916
Elkhorn,1998,HF,19,19,-25.39,24.1,-7.9,97.03539823
Elkhorn,1999,control,5,1,-24.86,27.1,-8,102.5082965
Elkhorn,1999,control,24,11,-24.93,25.6,-8,102.5082965
Elkhorn,1999,fertilizer,2,15,-25.27,27.9,-8,98.44856195
Elkhorn,1999,fertilizer,2,1,-23.27,26,-8,118.7472345
Elkhorn,1999,fertilizer,14,11,-27.27,23.2,-8,78.14988938
Elkhorn,1999,herbicide,12,7,-24.75,24.7,-8,103.5232301
Elkhorn,1999,herbicide,17,15,-25.82,24.6,-8,93.37389381
Elkhorn,1999,HF,19,19,-25.59,26.6,-8,95.40376106
Elkhorn,1999,HF,1,7,-25.39,25.2,-8,97.43362832
Elkhorn,2000,control,5,1,-24.49,28.1,-8,107.0035951
Elkhorn,2000,control,24,11,-25.03,26.1,-8,101.9081858
Elkhorn,2000,control,8,3,-25.94,25.5,-8,92.73644912
Elkhorn,2000,fertilizer,14,11,-24.33,27.6,-8,109.0417588
Elkhorn,2000,fertilizer,2,15,-24.14,26.5,-8,111.0799226
Elkhorn,2000,fertilizer,2,1,-26.41,25.8,-8,87.64103982
Elkhorn,2000,herbicide,17,15,-26.51,28.7,-8,86.62195796
Elkhorn,2000,herbicide,15,9,-26.46,26,-8,87.64103982
Elkhorn,2000,herbicide,12,7,-25.41,23.4,-8,97.83185841
Elkhorn,2000,HF,1,7,-23.96,26.4,-8,113.1180863
Elkhorn,2000,HF,19,19,-26.9,25.7,-8,82.54563053
Elkhorn,2001,control,24,11,-24.56,27.9,-8,107.4391593
Elkhorn,2001,control,5,1,-27.37,26,-8,78.78871681
Elkhorn,2001,control,8,3,-26.33,25.5,-8,89.0210177
Elkhorn,2001,fertilizer,2,1,-26.07,27.1,-8,92.09070796
Elkhorn,2001,fertilizer,14,11,-26.5,25.9,-8,86.97455752
Elkhorn,2001,fertilizer,2,15,-25.45,25.5,-8,98.2300885
Elkhorn,2001,herbicide,12,7,-24.4,26.9,-8,108.4623894
Elkhorn,2001,herbicide,17,15,-24.56,26.2,-8,107.4391593
Elkhorn,2001,herbicide,15,9,-26.34,23.9,-8,89.0210177
Elkhorn,2001,HF,10,15,-25.55,27,-8,97.20685841
Elkhorn,2001,HF,19,19,-25.31,26.9,-8,99.25331858
Elkhorn,2001,HF,1,7,-27.05,25.2,-8,81.85840708
